TalentID,Branch,Slot,SPReq,TalentReq,Tier,Name,Note,MaxLevel,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,BonusTypeA,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,BonusTypeB,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,BonusTypeC,BonusAmountC
ClanShipDmg,BranchYellow,3,3,AllHelperDmg,II,Aerial Assault,Increased clan ship damage / max splash count,25,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,ClanShipDamage,0,1.50E+00,2.11E+00,2.98E+00,4.63E+00,7.19E+00,1.12E+01,1.91E+01,3.58E+01,6.73E+01,1.38E+02,3.11E+02,7.63E+02,2.04E+03,6.48E+03,2.23E+04,9.02E+04,4.27E+05,2.55E+06,1.91E+07,1.77E+08,2.05E+09,3.36E+10,7.76E+11,2.52E+13,1.30E+15,ClanShipSplashCount,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,26,28,30,32,35,None,0
HelperBoost,BranchYellow,4,20,ChestGold,III,Tactical Insight,Unlockable skill boost for heroes,25,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,HelperMultiplicativeSkillBoost,0,0.0025,0.0047,0.0076,0.0105,0.0134,0.0170,0.0212,0.0254,0.0302,0.0358,0.0420,0.0488,0.0568,0.0655,0.0754,0.0866,0.0995,0.1143,0.1309,0.1494,0.1709,0.1955,0.2235,0.2560,0.2933,HelperAdditiveSkillBoost,0,0.020,0.044,0.070,0.095,0.121,0.148,0.176,0.204,0.233,0.263,0.293,0.324,0.356,0.388,0.421,0.456,0.490,0.526,0.563,0.600,0.639,0.678,0.718,0.760,0.802,None,0
ClanQTE,BranchYellow,6,20,ClanShipDmg,III,Coordinated Offensive,Summon clan member Clan Ship QTE,25,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,ActiveAllHelperDamage,0,1.80E+00,2.59E+00,4.14E+00,6.62E+00,1.06E+01,1.88E+01,3.69E+01,7.25E+01,1.57E+02,3.76E+02,9.90E+02,2.86E+03,9.93E+03,3.77E+04,1.70E+05,9.14E+05,6.29E+06,5.53E+07,6.16E+08,8.66E+09,1.78E+11,5.33E+12,2.30E+14,1.65E+16,1.96E+18,ClanQTECooldown,0,0,0.5,1,1.5,2,2.5,3,3.5,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,None,0
HelperDmgQTE,BranchYellow,7,50,HelperBoost,IV,Astral Awakening,Increased Hero QTE damage per bounce,15,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,HelperQTEDamage,0,1.21E+00,1.45E+00,1.80E+00,2.36E+00,3.25E+00,4.84E+00,7.90E+00,1.43E+01,2.92E+01,6.91E+01,1.98E+02,7.12E+02,3.42E+03,2.34E+04,2.56E+05,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,HelperQTECount,5
ClanShipStun,BranchYellow,9,50,ClanQTE,IV,Anchoring Shot,Stun Titan for increased damage,15,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,ClanShipStunDamage,0,3.50E+00,1.00E+01,3.36E+01,1.53E+02,9.25E+02,8.34E+03,1.23E+05,3.18E+06,1.54E+08,1.61E+10,4.58E+12,4.28E+15,1.73E+19,4.34E+23,1.13E+29,-,-,-,-,-,-,-,-,-,-,ClanShipStunDuration,0,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,-,-,-,-,-,-,-,-,-,-,None,0
MPCapacityBoost,BranchBlue,0,0,None,I,Limit Break,Increased mana capacity and regen,25,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,ManaPoolCap,0,5,8,12,19,26,35,46,62,80,103,132,168,213,269,337,421,524,652,809,1000,1234,1520,1870,2295,2815,ManaRegen,0,0.1,0.228,0.373,0.538,0.727,0.941,1.185,1.463,1.779,2.139,2.549,3.015,3.546,4.151,4.839,5.622,6.514,7.529,8.684,10.000,11.497,13.201,15.141,17.350,19.864,None,0
MidasSkillBoost,BranchBlue,1,3,MPCapacityBoost,II,Midas Ultimate,HoM multiplier + fairy gold mult,25,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,HandOfMidasSkillAmount,0,1.80E+00,2.92E+00,4.79E+00,8.78E+00,1.61E+01,2.95E+01,6.02E+01,1.36E+02,3.09E+02,7.76E+02,2.15E+03,6.59E+03,2.22E+04,9.02E+04,4.02E+05,2.14E+06,1.35E+07,1.10E+08,1.14E+09,1.50E+10,2.49E+11,6.02E+12,2.10E+14,1.05E+16,8.64E+17,FairyGold,0,1.20E+00,1.45E+00,1.75E+00,2.22E+00,2.80E+00,3.54E+00,4.69E+00,6.50E+00,8.99E+00,1.30E+01,1.97E+01,3.11E+01,5.14E+01,9.25E+01,1.74E+02,3.56E+02,7.93E+02,2.00E+03,5.76E+03,1.87E+04,6.93E+04,3.17E+05,1.79E+06,1.25E+07,1.19E+08,None,0
BurstSkillBoost,BranchBlue,2,3,MPCapacityBoost,II,Angelic Radiance,Increased damage + splash through bosses,25,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,BurstDamageSkillAmount,0,2.00E+00,3.00E+00,4.50E+00,7.52E+00,1.26E+01,2.10E+01,3.89E+01,8.00E+01,1.64E+02,3.74E+02,9.37E+02,2.59E+03,7.86E+03,2.88E+04,1.15E+05,5.53E+05,3.16E+06,2.34E+07,2.22E+08,2.70E+09,4.18E+10,9.65E+11,3.30E+13,1.66E+15,1.43E+17,BurstSkillSplashSkipCount,0,0,1,1,2,3,4,5,6,7,8,10,12,14,16,18,20,24,29,34,40,46,52,58,64,70,None,0
CloneDmg,BranchBlue,3,3,MPCapacityBoost,II,Phantom Vengeance,Increased clone dmg + attack rate,25,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,ShadowCloneSkillAmount,0,1.50E+00,2.06E+00,2.84E+00,4.34E+00,6.64E+00,1.02E+01,1.72E+01,3.24E+01,6.09E+01,1.26E+02,2.89E+02,7.27E+02,2.01E+03,6.67E+03,2.42E+04,1.05E+05,5.37E+05,3.54E+06,2.97E+07,3.17E+08,4.26E+09,8.39E+10,2.40E+12,9.91E+13,6.81E+15,ShadowCloneSkillAttackRate,0,0.1,0.21,0.33,0.46,0.59,0.74,0.89,1.05,1.22,1.41,1.60,1.81,2.03,2.26,2.51,2.77,3.05,3.35,3.66,4.00,4.36,4.74,5.14,5.57,6.02,None,0
Fairy,BranchBlue,4,20,MidasSkillBoost,III,Fairy Charm,Multi-fairy spawn bonus + lower fairy spawn cooldown,10,700,700,700,700,700,700,700,700,700,700,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FairySpawnChance,0,0.04,0.16,0.35,0.54,0.75,1.03,1.38,1.76,2.21,2.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FairyCooldown,0,4,8.6,13.5,18.8,24.5,30.6,37.2,44.2,51.8,60.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0
ManaStealSkillBoost,BranchBlue,5,20,BurstSkillBoost,III,Mana Siphon,Chance to gain additional mana per tap,25,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,ManaTapRegen,0,0.0005,0.0007,0.0010,0.0013,0.0016,0.0020,0.0025,0.0031,0.0038,0.0047,0.0056,0.0068,0.0081,0.0097,0.0115,0.0137,0.0162,0.0192,0.0226,0.0265,0.0312,0.0366,0.0428,0.0501,0.0584,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManaStealChance,0.005
CloneSkillBoost,BranchBlue,6,20,CloneDmg,III,Eternal Darkness,Increased clone duration + splash skip,25,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,ShadowCloneSkillDuration,0,2.0,4.5,8.9,13.3,17.7,24.1,32.8,41.5,52.6,66.2,82.5,101.7,126.7,154.9,189.5,231.0,283.1,346.7,422.2,510.0,619.6,752.0,908.4,1099.8,1328.1,ShadowCloneSplashSkipCount,0,0,1,1,2,3,4,5,6,7,8,10,12,14,16,18,20,23,26,29,32,35,38,42,46,50,None,0
ManaMonster,BranchBlue,7,50,Fairy,IV,Manni Mana,Chance for mana monster to spawn (gives mana),15,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,ManaMonsterAmount,0,2.0,4.0,6.5,10.0,14.5,20.5,28.5,39.0,52.5,70.0,93.0,123.0,162.0,212.5,278.0,-,-,-,-,-,-,-,-,-,-,ManaMonsterSpawnChance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,None,0
CritSkillBoost,BranchBlue,8,50,ManaStealSkillBoost,IV,Lightning Strike,Chance to deal damage equal to percent of monster hp,15,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,LightningStrikeDamage,0,0.1000,0.1532,0.2072,0.2671,0.3288,0.3942,0.4627,0.5323,0.6003,0.6659,0.7288,0.7867,0.8379,0.8809,0.9147,-,-,-,-,-,-,-,-,-,-,LightningStrikeEfficiency,0,0.938,0.941,0.944,0.947,0.950,0.953,0.956,0.959,0.962,0.965,0.968,0.971,0.974,0.977,0.980,-,-,-,-,-,-,-,-,-,-,LightningStrikeChance,0.02
BossTimer,BranchBlue,9,50,CloneSkillBoost,IV,Dimensional Shift,Increase active skill effects and duration,15,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,ShadowCloneAllSkillBoost,0,1.31E+00,1.70E+00,2.31E+00,3.40E+00,5.40E+00,9.54E+00,1.92E+01,4.49E+01,1.25E+02,4.26E+02,1.92E+03,1.20E+04,1.13E+05,1.77E+06,5.39E+07,-,-,-,-,-,-,-,-,-,-,ShadowCloneAllSkillDurationRate,0,0.960,0.920,0.880,0.840,0.800,0.760,0.720,0.680,0.640,0.600,0.550,0.500,0.450,0.400,0.350,-,-,-,-,-,-,-,-,-,-,None,0
OfflineGold,BranchGreen,0,0,None,I,Master Thief,All Gold / Inactive gold bonus,25,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,GoldAll,0,1.60E+00,2.55E+00,4.06E+00,7.13E+00,1.25E+01,2.20E+01,4.25E+01,9.02E+01,1.91E+02,4.45E+02,1.13E+03,3.14E+03,9.49E+03,3.40E+04,1.32E+05,6.05E+05,3.24E+06,2.19E+07,1.85E+08,1.94E+09,2.54E+10,4.70E+11,1.23E+13,4.50E+14,2.63E+16,InactiveGold,0,1.20E+00,1.38E+00,1.58E+00,1.94E+00,2.38E+00,2.92E+00,3.81E+00,5.29E+00,7.35E+00,1.08E+01,1.69E+01,2.78E+01,4.84E+01,9.33E+01,1.89E+02,4.21E+02,1.03E+03,2.84E+03,8.83E+03,3.08E+04,1.19E+05,5.41E+05,2.86E+06,1.73E+07,1.25E+08,None,0
CritSkillBoostDmg,BranchGreen,1,3,OfflineGold,II,Assassinate,Deadly Strike damage boost,25,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,CritBoostSkillAmount,0,1.60E+00,2.52E+00,3.97E+00,7.11E+00,1.28E+01,2.29E+01,4.66E+01,1.07E+02,2.48E+02,6.44E+02,1.89E+03,6.21E+03,2.29E+04,1.06E+05,5.46E+05,3.48E+06,2.74E+07,2.93E+08,4.23E+09,8.15E+10,2.10E+12,8.60E+13,5.60E+15,5.73E+17,1.10E+20,CritBoostSkillDuration,0,2.0,4.5,8.9,13.3,17.7,24.1,32.8,41.5,52.6,66.2,82.5,101.7,126.7,154.9,189.5,231.0,283.1,346.7,422.2,510.0,619.6,752.0,908.4,1099.8,1328.1,None,0
AutoAdvance,BranchGreen,2,3,OfflineGold,II,Silent March,Damage / speed increase during inactive play,10,400,400,400,400,400,400,400,400,400,400,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,InactiveAllDamage,0,1.00E+00,2.25E+00,4.43E+00,9.98E+00,2.19E+01,4.73E+01,1.23E+02,3.81E+02,1.18E+03,4.36E+03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MonsterInactiveSpawnDuration,0,0,0.05,0.10,0.20,0.30,0.42,0.54,0.66,0.78,0.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,InactiveAdvance,0.99
MultiMonsters,BranchGreen,3,3,OfflineGold,II,Ambush,Increased multi spawn chance,10,400,400,400,400,400,400,400,400,400,400,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MultiMonstersMaxCount,0,1,2,4,6,8,10,12,14,16,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MultiMonsters,0,0.010,0.016,0.024,0.036,0.052,0.075,0.107,0.151,0.213,0.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0
PetOfflineDmg,BranchGreen,4,20,CritSkillBoostDmg,III,Twilight's Veil,Increased Inactive pet damage,10,800,800,800,800,800,800,800,800,800,800,800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,InactivePetDamage,0,0.01,0.030,0.128,0.541,2.29,13,96,706,6551,75000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DeadlyDamagePet,0,1.0,1.3,1.9,2.7,3.8,5.8,9.5,15.5,26.9,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0
InactiveClanShip,BranchGreen,5,20,AutoAdvance,III,Ghost Ship,Inactive Ship damage + crit,10,800,800,800,800,800,800,800,800,800,800,800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,InactiveShipDamage,0,0.01,0.030,0.128,0.541,2.29,13,96,706,6551,75000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DeadlyDamageShip,0,1.0,1.3,1.9,2.7,3.8,5.8,9.5,15.5,26.9,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0
